[ConfigManager] Loaded secrets from: /Users/roy-jd/Documents/MyAI/ai4s/secrets.json
✅ W&B API Connected (Project: lxh5147-jianghan-university/medtime)
🔍 Querying W&B API...
   ✅ Fetched 57 recent runs from W&B.

=== 🧪 MEDTIME W&B METRICS (Single Source) ===
|    | run_name                               | wandb_state    |   wandb_f1 |   wandb_trigger_f1 |   wandb_mae |
|----|----------------------------------------|----------------|------------|--------------------|-------------|
|  0 | medtime_few_shot_cn_no_topo_0208_1902  | finished       |     0.2358 |             0.3493 |     46.0750 |
|  1 | medtime_few_shot_cn_no_align_0208_1902 | finished       |     0.3133 |             0.3564 |     31.2000 |
|  2 | medtime_few_shot_cn_0208_1854          | finished       |     0.4257 |             0.5023 |     33.6085 |
|  3 | medtime_few_shot_sft_0208_1854         | finished       |     0.4110 |             0.5061 |     31.5535 |
|  4 | medtime_few_shot_cn_no_align_0208_1902 | finished       |     0.0000 |             0.0000 |      0.0000 |
|  5 | medtime_few_shot_cn_no_topo_0208_1902  | finished       |     0.0000 |             0.0000 |      0.0000 |
|  6 | medtime_few_shot_sft_0208_1854         | finished       |     0.0000 |             0.0000 |      0.0000 |
|  7 | medtime_few_shot_cn_0208_1854          | finished       |     0.0000 |             0.0000 |      0.0000 |
|  8 | medtime_few_shot_cn_no_align_0208_1648 | finished       |     0.3447 |             0.3557 |     27.3165 |
|  9 | medtime_few_shot_cn_no_topo_0208_1648  | finished       |     0.2642 |             0.3535 |     27.8500 |
| 10 | medtime_few_shot_cn_0208_1648          | finished       |     0.2402 |             0.3418 |     44.4330 |
| 11 | medtime_few_shot_sft_0208_1648         | finished       |     0.2706 |             0.2721 |     33.2250 |
| 12 | medtime_zeroshot_14b_cn_0208_1648      | failed (saved) |     0.4207 |             0.4978 |     33.3285 |
| 13 | medtime_few_shot_cn_no_align_0208_1648 | finished       |     0.0000 |             0.0000 |      0.0000 |
| 14 | medtime_few_shot_cn_no_topo_0208_1648  | finished       |     0.0000 |             0.0000 |      0.0000 |
| 15 | medtime_few_shot_sft_0208_1648         | finished       |     0.0000 |             0.0000 |      0.0000 |
